Week,Offence,Defence,Score,Total drives,Passing Yards,Turnovers,Rushing,Sacks,Punts,3rd dwns Conv,3rd downs Att,4th downs Conv,4th downs Att,Line,Vegas_Expected_Score,Total_Points_Vegas
1,Bengals,Browns,3,15,82,0,75,2,10,2,15,0,1,-2.5,22,46.5
2,Steelers,Browns,26,14,222,2,55,2,7,4,14,0,0,-2.5,18.5,39.5
3,Titans,Browns,3,10,104,0,26,5,7,2,12,1,1,-3.5,17,37.5
4,Ravens,Browns,28,12,186,1,131,3,7,4,12,1,1,2.5,20,37.5
6,49ers,Browns,17,13,125,1,108,3,6,3,12,0,0,9.5,22.5,35.5
7,Colts,Browns,38,16,305,4,168,4,5,7,15,0,0,-3.5,18.5,40.5
8,Seahawks,Browns,24,12,254,2,114,1,5,4,12,1,1,3.4,21.45,39.5
9,Cardinals,Browns,0,14,58,3,41,7,9,1,12,0,1,-13.5,12.5,38.5
10,Ravens,Browns,31,10,223,2,106,3,3,2,8,0,0,6.5,22.5,38.5
11,Steelers,Browns,10,13,106,0,172,3,9,3,14,1,1,-2.5,16,34.5
12,Broncos,Browns,29,12,134,1,169,1,5,6,14,0,1,-1.5,18,37.5
13,Rams,Browns,36,13,279,0,120,0,5,4,12,0,0,3.5,21.5,39.5
14,Jaguars,Browns,27,17,239,4,58,1,8,4,18,3,3,-2.5,17,36.5
15,Bears,Browns,17,15,166,3,88,3,10,4,18,0,2,-2.5,17.5,37.5
16,Texans,Browns,22,13,211,2,72,3,6,5,15,1,3,-3.5,18,39.5
17,Jets,Browns,20,13,261,2,107,2,5,6,16,1,2,-6.5,13.5,33.5
18,Bengals,Browns,31,12,176,1,183,3,6,3,12,0,0,7.5,22.5,37.5
Wildcard,Texans,Browns,45,10,280,0,76,0,4,2,8,0,0,-2.5,21,44.5