Score,Divisional,Temp,Wind_Binary,Weather_Ord,Total_Weather_Binary ,Weather_Binary,Wthr,Weather_O,Passing 1st,Rushing 1st,1st_Penalties,Total drives,YPP,Passing Yards,Interceptions,Fumbles,Turnovers,Rushing,Rushing Att,YPR,RZ ATT,RZ Conv,Penalties,Yrds lost to penalties,Defensive/Special Teams TDs,Possestion,Pass Att,Pass Completed,Pass TDs,Sacks,Yards lost sacks,Passer rating,Rush TDs,FGM,FGA,XPM,XPA,Punts,Punt yards,3rd dwns Conv,3rd downs Att,4th downs Conv,4th downs Att,Momentum 
10,0,70,0,0,0,0,0,0,10,2,1,9,7.7,185,2,1,3,55,15,3.7,2,1,2,30,0,1196,24,16,1,0,0,68.9,0,1,1,1,1,3,149,3,7,0,0,-1
3,0,65,0,0,0,0,0,0,8,5,2,11,5.9,170,4,1,5,105,13,8.1,2,0,2,15,0,1521,29,19,0,9,45,35.1,0,1,1,0,0,3,150,1,9,0,1,1
20,1,74,0,0,0,0,0,0,12,8,0,11,8.1,282,1,1,2,142,19,7.5,4,3,8,98,0,1778,35,25,1,4,31,89.1,2,0,0,2,2,3,138,3,10,0,3,2
25,0,70,0,0,0,0,0,0,16,9,4,12,9,278,0,2,2,196,40,4.9,4,2,8,56,0,2292,40,27,2,0,0,102,1,0,0,2,2,6,258,5,12,0,0,3
9,0,47,0,0,0,0,0,0,11,5,4,10,5.6,200,0,0,0,132,34,3.9,5,0,9,65,0,1884,36,24,0,3,15,79.1,0,3,3,0,0,4,202,10,19,1,2,-1
29,1,58,0,0,0,0,0,0,13,6,2,9,9.1,272,0,1,1,96,24,4,5,3,8,59,0,1666,30,25,2,1,4,126.1,1,3,3,2,2,2,110,4,9,0,0,1
18,0,66,0,0,0,0,0,0,10,3,4,11,5.6,237,0,0,0,78,17,4.6,1,1,11,74,0,1683,42,25,2,3,13,89.8,0,1,2,1,1,6,305,4,15,1,1,-1
24,0,51,0,0,0,0,0,0,17,5,1,9,7.9,348,0,0,0,54,22,2.5,3,2,6,49,0,2198,44,31,2,1,5,108.4,1,1,1,3,3,3,118,8,15,1,2,1
24,0,48,0,0,0,0,0,0,12,5,2,12,6.7,193,0,1,1,122,38,3.2,3,2,10,61,0,2241,29,24,2,4,15,115.2,0,4,4,0,1,5,242,8,19,1,1,-1
6,1,40,0,0,0,0,0,0,8,3,3,11,4.4,132,2,2,4,63,18,3.5,1,1,5,35,0,1389,30,15,1,6,40,39.9,0,0,0,0,0,6,297,0,11,4,5,-2
17,0,45,0,0,0,0,0,0,14,6,1,10,6.3,271,1,1,2,82,18,4.6,3,2,7,45,0,1479,43,25,1,1,7,74.2,1,1,1,2,2,4,160,6,12,0,1,-1
10,0,47,0,1,0,1,1,1,6,7,1,8,3.9,134,1,0,1,89,20,4.5,2,1,5,48,0,1495,34,21,0,3,28,54.3,1,1,1,1,1,5,275,5,13,1,2,1
22,0,63,0,0,0,0,0,0,10,6,2,12,6.5,215,0,0,0,98,27,3.6,3,1,6,29,0,1984,33,23,0,5,40,82.3,1,5,5,1,1,4,200,4,14,0,0,2
21,1,36,0,0,0,0,0,0,8,7,1,13,8,209,3,1,4,103,24,4.3,2,2,2,20,1,1628,26,16,0,3,18,44.4,2,0,1,3,3,4,176,4,10,0,0,3
14,1,62,0,0,0,0,0,0,9,5,2,9,6.4,173,2,0,2,108,20,5.4,1,1,4,29,0,1313,27,17,1,1,6,61.8,1,0,0,2,2,5,239,4,10,0,0,4
17,0,17,1,3,1,1,4,1,14,6,2,11,5.9,229,1,1,2,106,23,4.6,3,2,6,50,0,1601,39,22,2,1,11,78.8,0,1,1,2,2,4,154,5,11,0,1,5
27,0,25,0,0,0,0,0,0,12,7,2,9,9.3,215,0,1,1,146,24,6.1,4,2,2,15,0,1377,23,17,2,0,0,131.6,1,2,2,3,3,1,49,1,5,0,0,6
34,0,85,0,0,0,0,0,0,10,17,3,10,6.9,229,0,0,0,233,40,5.8,5,4,6,70,0,1961,33,23,1,3,29,95.5,3,2,2,4,4,3,145,9,15,0,1,0
17,1,64,0,0,0,0,0,0,10,10,3,11,5.5,231,1,1,2,88,25,3.5,2,2,5,45,0,1781,42,31,1,4,31,81.4,1,1,1,2,2,4,192,7,15,1,2,1
20,0,86,0,0,0,0,0,0,13,2,1,14,8.1,306,1,2,3,69,20,3.5,4,1,7,46,1,1599,38,23,1,1,12,82.6,0,2,2,2,2,5,234,3,12,0,1,2
48,1,74,0,0,0,0,0,0,14,8,2,12,12.8,320,0,0,0,104,29,3.6,6,5,4,20,0,1822,25,21,4,2,10,157.9,2,2,2,6,6,2,93,5,10,0,0,3
16,0,87,0,0,0,0,0,0,10,3,2,9,6.4,205,0,0,0,85,29,2.9,2,0,6,43,1,2159,32,23,0,7,22,85.8,0,3,4,1,1,4,161,5,17,1,2,-1
21,0,86,1,2,1,1,3,0,13,6,2,11,5.7,224,0,0,0,108,25,4.3,2,2,3,11,1,1844,39,24,1,4,36,82,1,0,1,3,3,4,189,5,14,0,4,1
31,0,55,0,0,0,0,0,0,11,12,3,10,9,279,1,1,2,99,34,2.9,6,4,0,0,0,2203,31,23,2,3,23,106.4,2,1,1,4,4,1,57,4,12,4,4,2
17,1,84,1,2,1,1,3,0,7,6,0,11,5.6,161,1,0,1,77,19,4.1,2,1,7,45,0,1445,29,19,2,3,20,85.6,0,1,1,2,2,5,265,1,9,1,2,-1
21,0,52,1,3,1,1,4,1,17,5,2,11,6.2,323,1,1,2,78,26,3,4,2,3,25,0,2155,30,20,2,2,11,104,0,0,0,3,3,6,302,3,10,0,0,-2
13,0,80,0,0,0,0,0,0,11,6,3,11,6.6,186,0,1,1,117,21,5.6,1,1,6,45,0,1824,41,24,1,2,11,54.9,0,2,2,1,1,6,315,4,14,0,2,-3
13,1,49,0,0,0,0,0,0,9,2,1,10,4.7,179,2,0,2,29,10,2.9,2,1,6,60,1,1459,38,27,1,7,49,62.4,0,0,0,1,2,6,317,5,14,2,3,1
15,0,53,0,0,0,0,0,0,9,2,1,10,5.5,150,2,0,2,29,10,2.9,2,1,6,60,1,1459,23,12,0,3,20,46.8,2,0,1,1,1,5,214,6,14,1,1,2
28,0,72,0,0,0,0,0,0,10,9,1,9,8.6,290,0,0,0,123,34,3.6,3,3,2,15,1,1936,38,23,1,1,7,85.4,2,2,2,2,2,5,244,5,13,0,0,3
0,1,78,1,2,1,1,3,0,9,0,2,11,3.7,136,2,2,4,23,12,1.9,0,0,7,55,0,1419,37,18,0,6,56,32.6,0,0,0,0,0,5,267,5,13,0,2,-1
20,0,77,1,2,1,1,3,0,9,0,2,11,7.9,91,2,2,4,23,12,1.9,0,0,7,55,0,1419,32,20,2,4,11,106.5,0,2,2,2,2,3,178,4,12,2,2,1
56,0,51,0,0,0,0,0,0,16,4,2,9,15.5,293,0,0,0,91,26,3.5,4,1,5,33,0,1738,22,19,6,1,9,158.3,2,0,0,8,8,2,71,4,7,1,1,2
21,1,62,0,0,0,0,0,0,14,11,1,9,9.4,359,2,1,3,128,36,3.6,5,2,6,41,1,2287,38,30,2,3,14,100.1,0,0,0,3,3,1,41,9,15,1,3,-1
26,0,-2,0,0,0,0,0,0,14,8,3,10,6.4,262,0,1,1,147,34,4.3,6,2,5,45,0,2045,41,23,1,0,0,83.6,1,4,4,2,2,3,133,6,15,1,1,-2
25,0,74,0,1,0,1,1,1,8,6,3,13,5.2,170,0,1,1,97,25,3.9,2,1,5,49,1,1848,33,22,1,3,16,87.2,0,4,4,1,2,4,197,4,13,0,1,0
24,1,64,0,0,0,0,0,0,15,6,1,11,8.3,249,1,0,1,145,30,4.8,3,2,6,46,0,1819,30,21,1,1,5,91.5,2,1,3,3,3,3,144,4,10,0,0,-1
10,1,63,0,1,0,1,1,1,6,5,1,13,4.4,157,0,0,0,38,22,1.7,1,1,3,15,0,1688,36,18,0,3,24,59.1,1,1,1,1,1,8,410,2,14,1,2,-2
38,0,90,0,0,0,0,0,0,15,6,1,10,7.8,281,0,0,0,124,30,4.1,4,1,5,32,2,2109,36,30,1,3,28,105.2,1,3,3,3,3,2,112,8,15,0,1,1
34,0,61,1,2,1,1,3,0,11,6,0,14,7,183,0,0,0,136,42,3.2,4,3,12,86,1,2374,26,18,2,2,15,112.3,1,2,2,4,4,7,307,5,15,0,0,-1
21,0,77,0,0,0,0,0,0,12,4,3,9,8.3,264,1,0,1,84,33,2.5,6,1,6,42,0,1932,32,20,1,0,0,85.9,0,4,4,1,1,2,103,8,16,0,0,-2
25,1,58,0,0,0,0,0,0,14,7,3,10,6.5,265,1,1,2,81,24,3.4,4,2,9,46,0,1934,41,27,2,1,7,89.3,1,1,2,2,2,1,55,5,12,2,3,-3
31,1,84,1,2,1,1,3,0,17,5,2,11,7.2,324,1,1,2,78,26,3,4,2,3,25,0,2155,45,30,3,2,12,99.5,1,1,1,4,4,3,146,5,14,3,3,1
20,0,62,0,0,0,0,0,0,14,8,1,12,7.2,325,1,1,2,124,29,4.3,4,1,4,30,0,2230,45,29,1,3,17,82.5,1,2,2,2,2,5,239,9,17,0,0,-1
10,0,46,0,0,0,0,0,0,8,4,2,10,6.9,194,1,0,1,70,26,2.7,1,1,4,34,0,1535,28,18,0,0,0,69.6,1,1,2,1,1,5,224,5,13,2,2,-2
10,0,47,0,0,0,0,0,0,7,3,0,12,7.6,191,0,1,1,58,19,3.1,2,1,4,37,0,1554,25,17,1,6,29,99.1,0,1,1,1,1,8,363,4,13,0,0,-3
6,0,47,0,1,0,1,1,1,8,5,0,11,5.7,212,0,0,0,29,24,1.2,0,0,4,20,0,1730,37,22,0,0,0,75.5,0,2,2,0,0,8,367,5,15,0,0,-4
18,0,44,0,0,0,0,0,0,10,5,3,14,5.3,190,1,0,1,82,28,2.9,2,1,1,5,0,1939,36,22,1,2,8,71.8,1,1,1,1,1,6,267,3,14,1,3,-5
27,0,53,0,0,0,0,0,0,15,2,2,13,8.1,309,2,0,2,43,20,2.2,5,3,2,15,0,1874,38,28,3,3,26,98.9,0,2,3,3,3,4,196,5,13,0,1,1
23,0,27,0,0,0,0,0,0,10,9,0,15,6.4,238,0,2,2,83,23,3.6,3,2,2,25,0,1878,37,25,2,5,45,98.1,1,0,1,1,1,7,301,4,13,1,2,-1
27,1,36,0,0,0,0,0,0,8,10,1,12,5.6,169,1,0,1,127,37,3.4,5,2,5,32,1,1972,30,15,0,1,15,51.3,2,2,2,3,3,6,289,7,15,0,0,1
17,1,35,1,3,1,1,2,1,3,9,1,14,3.5,70,0,1,1,185,42,4.4,2,0,1,5,0,2022,20,8,0,1,1,49.8,1,3,4,0,0,7,322,3,15,0,1,-1
30,0,86,0,0,0,0,0,0,16,8,2,12,6.7,255,0,0,0,134,44,3,6,2,6,38,0,2535,38,31,2,1,7,111.4,0,5,5,1,1,3,155,9,18,0,0,1
15,1,63,0,1,0,1,1,1,9,8,0,13,6.9,201,0,0,0,157,40,3.9,0,0,6,43,0,1912,29,15,1,0,0,85.6,0,2,4,1,1,8,322,8,19,0,0,-1
23,0,72,0,0,0,0,0,0,9,11,4,11,6.8,203,2,0,2,204,35,5.8,4,0,5,46,0,1929,30,18,1,1,6,62.8,1,3,3,2,2,2,98,7,12,0,0,-2
21,0,73,0,0,0,0,0,0,10,5,3,12,6.3,196,0,3,3,139,22,6.3,4,2,4,31,0,1524,31,20,2,4,27,100.1,0,2,2,1,1,4,181,4,10,0,0,-3
14,0,58,0,0,0,0,0,0,16,6,2,10,6.2,280,3,1,4,80,22,3.6,3,2,5,46,0,1844,45,28,1,2,12,58.4,1,0,1,2,2,2,81,7,14,1,2,1
27,0,50,0,0,0,0,0,0,7,5,2,13,4.5,136,0,0,0,84,21,4,2,2,4,39,1,1533,30,16,0,5,29,61.4,2,2,2,3,3,8,364,7,16,0,0,3
16,0,67,0,0,0,0,0,0,7,7,1,11,5.7,153,1,1,2,148,32,4.6,1,1,3,25,0,1818,27,16,1,3,27,67.8,0,3,3,1,1,5,253,5,15,2,2,-1
32,1,40,0,0,0,0,0,0,10,9,3,12,8.6,275,1,0,1,130,38,3.4,4,1,8,77,0,2211,32,20,3,1,12,106.6,0,4,4,2,3,3,104,5,13,1,1,-2
34,1,49,0,0,0,0,0,0,10,2,0,13,8.1,275,3,0,3,36,16,2.3,1,0,5,41,0,1665,30,21,1,2,15,75.4,2,2,2,4,4,1,40,11,16,0,1,-3
13,0,49,0,1,0,1,1,1,9,3,3,14,4.5,121,0,0,0,90,34,2.6,1,0,6,55,0,1774,27,12,1,3,17,67.5,0,2,2,1,1,9,433,4,14,0,0,-4
6,0,54,0,1,0,1,1,1,4,4,2,13,3.4,95,0,0,0,81,19,4.3,1,1,4,35,0,1375,28,11,0,5,41,47.3,1,0,0,0,1,8,405,1,12,0,3,-5
30,1,78,1,2,1,1,3,0,9,10,1,12,8.8,223,0,1,1,158,31,5.1,5,2,7,61,1,1944,26,23,1,3,15,113.6,2,3,3,3,3,4,143,6,15,2,2,1
28,0,45,0,0,0,0,0,0,7,7,4,15,4.5,156,2,1,3,102,22,4.6,4,4,8,68,0,1424,35,16,1,1,13,42.9,3,0,0,4,4,8,294,3,12,1,1,-1
37,0,39,0,1,0,1,1,1,9,9,2,12,10.7,309,1,2,3,127,28,4.5,5,3,4,26,1,1689,29,19,3,1,8,120,1,1,1,4,5,3,155,5,10,0,1,1
3,1,35,1,3,1,1,4,1,3,3,0,15,2.9,88,2,0,2,88,21,4.2,1,0,4,35,0,1578,30,12,0,7,57,20.1,0,1,1,0,0,9,422,1,14,0,3,-1
9,0,78,0,1,0,1,1,1,13,1,4,12,5.5,242,0,1,1,72,23,3.1,2,0,9,88,0,1745,44,28,0,5,46,73.7,0,3,3,0,0,4,176,7,18,1,4,0
24,1,66,0,0,0,0,0,0,13,4,2,7,5.4,222,1,0,1,66,15,4.4,4,2,5,30,1,1616,41,27,2,1,6,85,0,1,1,3,3,3,120,10,15,1,1,1
3,1,72,0,0,0,0,0,0,6,5,2,13,3.4,121,3,0,3,93,25,3.7,2,0,7,42,0,1810,36,19,0,4,48,23.8,0,1,1,0,0,8,373,4,16,1,1,-1
17,1,50,1,2,1,1,3,0,11,6,0,12,7,224,0,1,1,87,30,2.9,2,0,3,30,0,1786,32,18,1,3,22,85.7,0,3,3,0,0,6,257,6,15,0,0,1
16,0,52,0,0,0,0,0,0,4,5,8,10,7.1,150,1,1,2,129,19,6.8,4,1,6,45,0,1458,21,12,0,6,46,50.5,1,3,3,1,1,5,263,1,9,0,0,-1
6,0,62,1,2,1,1,3,0,13,4,1,10,5.4,284,1,0,1,84,14,6,1,0,5,57,0,1778,53,33,0,5,31,66,1,0,0,0,0,4,184,5,16,2,6,1
24,0,75,0,0,0,0,0,0,12,7,3,13,5.6,208,2,0,2,129,32,4,3,3,6,70,0,1821,37,25,2,2,27,74.3,1,1,1,1,1,4,207,5,12,0,2,2
3,0,74,0,0,0,0,0,0,5,1,0,13,5.6,157,1,1,2,28,15,1.9,1,0,5,29,0,1196,28,13,0,4,34,44.2,0,1,1,0,0,7,320,1,12,0,1,3
33,1,49,0,0,0,0,0,0,10,12,2,10,6.1,213,1,1,2,178,36,4.9,5,2,10,55,1,2055,35,20,1,4,18,70.5,1,4,4,1,2,2,89,8,16,1,2,4
20,1,56,0,0,0,0,0,0,10,6,4,11,5.5,169,0,0,0,136,23,5.9,3,2,9,78,0,1763,31,19,2,5,33,92.9,0,2,3,2,2,5,217,2,11,1,1,-1
10,0,66,0,0,0,0,0,0,11,5,0,11,4.9,217,1,3,4,86,19,4.5,3,1,5,41,0,1597,44,29,1,3,24,73.4,0,1,1,1,1,3,156,7,15,1,3,1
7,0,59,1,2,1,1,3,0,9,6,1,10,7.1,284,0,2,2,75,17,4.4,3,0,6,47,0,1541,24,14,1,3,26,72.4,1,3,3,2,2,3,129,5,12,1,1,3
19,0,57,0,0,0,0,0,0,14,5,2,11,7.3,336,5,0,5,121,18,6.7,4,2,10,102,0,1726,46,26,1,4,28,44.7,1,1,1,2,2,2,112,6,14,1,3,4
19,0,51,0,0,0,0,0,0,9,7,3,9,6.2,258,0,1,1,97,25,3.9,3,1,6,38,0,1862,38,22,2,3,16,70.2,0,2,2,1,1,3,158,6,15,2,4,5
17,1,39,1,3,1,1,4,1,8,8,0,12,7.6,152,0,2,2,155,39,4,2,1,4,25,0,2094,20,18,1,3,18,111.2,1,1,1,2,2,6,250,6,15,0,0,-1
10,0,27,1,2,1,1,3,0,8,1,1,10,5.3,175,0,0,0,38,14,2.7,0,0,11,70,1,1345,33,19,0,0,0,72.2,0,1,2,1,1,5,217,4,12,0,1,-2
17,0,49,0,1,0,1,1,1,12,5,5,11,6.2,241,0,0,0,89,32,2.8,3,2,3,30,0,2250,39,30,1,2,11,99.3,1,1,1,2,2,6,279,8,18,1,2,1
24,1,68,0,1,0,1,1,1,9,12,0,14,5.3,154,1,1,2,206,40,5.2,3,2,5,43,0,2150,29,16,1,3,10,65.9,1,3,3,1,1,7,331,4,14,0,0,0
27,1,66,0,0,0,0,0,0,12,11,3,9,7.2,237,0,0,0,178,37,4.8,4,3,6,56,0,1984,33,24,2,0,0,112.8,1,2,3,3,3,2,117,9,14,0,0,-1
16,0,68,0,0,0,0,0,0,12,2,1,12,8.2,269,2,0,2,71,13,5.5,4,1,4,28,0,1440,33,18,1,6,48,60.3,0,3,3,1,1,6,306,1,11,1,1,-2
27,0,73,0,0,0,0,0,0,11,9,3,9,9.3,242,1,0,1,173,33,5.2,4,2,5,27,0,2085,26,19,2,3,15,109,1,2,2,3,3,2,93,8,13,1,1,1
20,0,97,0,0,0,0,0,0,10,5,0,13,5.2,166,2,1,3,142,22,6.5,3,2,2,16,0,1310,32,15,2,3,14,55.7,1,0,0,2,3,4,219,4,11,0,3,-1
13,0,56,0,0,0,0,0,0,13,6,5,11,8,326,2,0,2,87,25,3.5,5,1,7,64,0,2041,41,27,0,4,29,66.8,1,2,2,1,1,3,115,5,12,0,2,1
17,0,73,0,0,0,0,0,0,15,8,1,11,11.8,365,2,1,3,113,23,4.9,4,2,5,54,0,1717,31,22,1,2,18,91.7,1,1,1,2,2,3,151,5,9,0,0,2
18,0,51,0,0,0,0,0,0,11,9,1,9,6.8,258,1,1,2,68,16,4.3,3,2,5,49,0,1402,38,26,1,1,9,84.2,1,1,1,1,1,3,127,7,12,0,0,3
30,0,54,0,0,0,0,0,0,16,10,2,13,9.1,356,1,2,3,188,34,5.5,5,3,7,50,0,1890,39,23,1,1,0,87.1,2,3,3,3,3,4,169,4,13,0,1,-1
34,1,56,0,0,0,0,0,0,9,10,3,11,10.2,264,0,0,0,157,31,5.1,4,3,9,110,0,1837,26,16,2,3,16,118.7,2,2,2,4,4,4,182,6,12,0,0,-2
16,1,47,0,1,0,1,1,1,15,6,1,10,8.4,278,0,1,1,153,33,4.6,4,1,5,55,0,2237,33,24,0,2,10,96.5,1,3,3,1,1,4,172,8,17,0,0,1
14,0,40,0,0,0,0,0,0,14,4,1,10,6.2,240,1,1,2,46,18,2.6,3,1,9,66,1,1688,39,26,1,3,14,79.6,0,0,1,0,1,4,194,3,11,1,2,1
31,1,52,0,0,0,0,0,0,7,9,0,11,10.7,290,0,0,0,113,30,3.8,3,2,2,15,0,1691,27,17,2,1,6,123.1,2,2,2,4,4,5,194,7,14,0,0,3
25,0,35,0,0,0,0,0,0,10,4,1,10,8.4,245,0,1,1,132,22,6,3,1,3,39,0,1543,29,21,1,2,4,108.5,0,6,6,1,1,1,57,3,12,1,1,-1
14,1,37,1,2,1,1,3,0,8,5,0,13,6.4,166,2,0,2,104,24,4.3,0,0,7,35,0,1454,26,13,2,3,26,59.8,0,0,0,2,2,7,335,2,11,1,1,-2
3,1,68,0,1,0,1,1,1,3,2,1,15,2.6,82,0,0,0,75,20,3.8,0,0,4,20,0,1450,32,14,0,2,15,51,0,1,2,0,0,10,409,2,15,0,1,0
26,1,63,0,0,0,0,0,0,6,3,0,14,7.4,222,1,1,2,55,21,2.6,0,0,5,31,2,1472,30,15,1,2,22,68.8,0,2,2,2,2,7,320,4,14,0,0,1
3,0,68,0,0,0,0,0,0,5,0,1,10,4.2,104,0,0,0,26,15,1.7,2,0,8,80,0,1291,25,13,0,5,36,57.9,0,1,1,0,0,7,374,2,12,1,1,-1
28,1,72,0,0,0,0,0,0,8,7,1,12,9.8,186,0,1,1,131,33,4,4,4,8,92,0,1790,19,15,2,3,21,137.9,2,0,0,4,4,7,334,4,12,1,1,1
17,0,55,1,2,1,1,3,0,5,6,4,13,4.6,125,1,0,1,108,25,4.3,3,2,12,105,0,1617,27,12,1,3,18,52.5,1,1,3,2,2,6,314,3,12,0,0,-1
38,0,51,0,0,0,0,0,0,11,8,1,16,13.3,305,1,3,4,168,40,4.2,4,3,8,67,0,1951,23,15,2,4,17,119.4,3,1,2,5,5,5,260,7,15,0,0,1
24,0,50,0,0,0,0,0,0,12,5,0,12,6.9,254,2,0,2,114,17,6.7,5,3,7,43,0,1400,37,23,2,1,6,77.3,1,1,1,3,3,5,274,4,12,1,1,2
0,0,56,0,0,0,0,0,0,3,3,1,14,2.9,58,2,1,3,41,21,2,0,0,4,40,0,1415,20,11,0,7,41,20.8,0,0,0,0,0,9,460,1,12,0,1,-1
31,1,49,0,0,0,0,0,0,9,3,5,10,9.7,223,2,0,2,106,24,4.4,2,1,7,64,1,1545,23,13,1,3,23,63.7,2,1,2,4,4,3,161,2,8,0,0,1
10,1,50,1,2,1,1,3,0,4,8,0,13,3.8,106,0,0,0,172,26,6.6,1,0,6,46,0,1713,28,15,0,3,29,59.2,1,1,1,1,1,9,355,3,14,1,1,2
29,0,37,0,0,0,0,0,0,5,10,2,12,6.1,134,0,1,1,169,39,4.3,5,3,8,71,0,1968,22,13,1,1,9,90.2,2,2,2,3,3,5,226,6,14,0,1,3
36,0,67,0,0,0,0,0,0,10,6,4,13,7.5,279,0,0,0,120,25,4.8,4,3,7,45,0,1557,37,22,3,0,0,110.1,1,2,3,4,4,5,293,4,12,0,0,-1
27,0,41,0,0,0,0,0,0,16,2,2,17,6.9,239,3,1,4,58,20,2.9,4,4,7,40,0,1691,45,26,3,1,4,91.6,1,1,1,4,4,8,412,4,18,3,3,-2
17,0,46,1,3,1,1,4,1,6,5,1,15,4.2,166,2,1,3,88,27,3.3,1,1,4,19,1,1740,40,19,1,3,18,44.6,0,1,1,2,2,10,448,4,18,0,2,1
22,0,64,0,0,0,0,0,0,13,3,4,13,4.3,211,2,0,2,72,16,4.5,2,2,10,76,1,1586,49,26,2,3,33,58,0,0,0,2,2,6,266,5,15,1,3,2
20,0,39,0,1,0,1,1,1,10,6,1,13,5.8,261,1,1,2,107,21,5.1,1,0,12,74,1,1911,45,32,1,2,8,82.9,0,2,3,2,2,5,213,6,16,1,2,3
31,1,37,1,2,1,1,3,0,10,10,2,12,6.3,176,1,0,1,183,30,6.1,4,4,1,10,0,2146,28,21,3,3,31,107,1,1,1,4,4,6,274,3,12,0,0,4
45,0,64,0,0,0,0,0,0,10,3,1,10,12.7,280,0,0,0,76,22,3.5,3,2,3,20,2,1474,22,17,3,0,0,158.1,1,1,1,6,6,4,184,2,8,0,0,2
30,0,69,0,0,0,0,0,0,13,8,1,12,7.6,220,0,1,1,188,34,5.5,3,2,11,85,0,2243,29,19,2,3,17,108.8,1,3,3,3,3,3,134,6,13,1,1,-1
22,1,63,0,0,0,0,0,0,12,7,1,15,5.9,235,1,3,4,198,35,5.7,3,2,8,81,0,2128,40,22,1,6,25,67.7,1,2,3,0,0,5,238,5,16,0,2,0
18,0,87,0,0,0,0,0,0,12,4,3,12,7.4,324,3,0,3,69,19,3.6,2,1,7,60,0,1797,44,28,2,4,31,69.6,0,1,1,1,1,5,262,4,13,1,2,-1
30,0,90,0,0,0,0,0,0,14,9,1,10,10.1,312,0,0,0,139,38,3.7,3,2,8,63,0,1955,31,17,3,0,0,122,0,3,3,3,3,3,114,6,12,0,1,1
10,1,50,1,2,1,1,3,0,11,7,1,12,6.2,236,1,2,3,125,25,5,3,1,2,20,0,1814,38,22,0,4,26,62.4,1,1,1,1,1,5,154,5,14,0,2,2
17,0,73,0,0,0,0,0,0,8,8,3,10,8,231,1,0,1,135,31,4.4,1,1,5,40,0,1544,29,14,1,2,12,70.9,1,1,3,0,1,4,208,9,16,0,0,-1
20,0,55,0,0,0,0,0,0,11,6,3,11,4.9,291,1,2,3,106,30,3.5,3,0,6,72,0,1869,43,25,1,3,20,57.4,0,1,2,1,1,6,257,3,12,0,2,1
16,0,42,0,0,0,0,0,0,12,5,6,9,6.7,262,1,0,1,105,25,4.2,4,1,7,51,0,1767,39,22,0,4,27,63.5,1,3,3,1,1,3,171,3,13,1,2,2
19,0,49,0,0,0,0,0,0,13,3,1,11,7.2,289,2,0,2,116,24,4.8,5,1,5,32,0,1757,40,21,2,1,6,71.1,0,2,2,1,2,4,179,8,16,2,2,-1
13,1,50,1,2,1,1,3,0,10,7,3,12,3.8,165,1,0,1,96,29,3.3,3,1,1,10,0,1887,43,24,0,1,2,54.7,1,2,2,1,1,8,380,4,17,1,1,1
10,1,47,0,1,0,1,1,1,9,0,1,10,8.7,227,1,0,1,25,11,2.3,2,1,5,36,0,1363,26,19,1,4,30,91.3,0,1,1,1,1,6,251,2,10,0,0,2
24,0,58,0,0,0,0,0,0,7,8,3,10,6.3,145,0,0,0,150,38,3.9,3,3,6,51,0,1600,23,13,1,2,13,87.6,2,1,1,3,3,5,252,10,17,0,0,-1
21,0,44,0,0,0,0,0,0,11,3,0,13,8.6,240,1,0,1,81,25,3.2,2,2,7,59,0,1661,28,19,3,2,18,112.5,0,0,0,3,3,9,395,4,13,0,0,1
30,0,52,0,0,0,0,0,0,8,9,2,11,7.7,215,0,0,0,170,34,5,6,3,2,10,0,1347,28,18,3,3,13,121.4,0,3,5,3,3,2,57,6,15,1,2,-1
11,1,52,0,0,0,0,0,0,13,3,1,11,8,335,3,0,3,59,16,3.7,3,0,3,20,0,1909,42,28,1,3,26,66.5,0,1,1,0,0,3,132,6,13,0,2,-2
